Students	1500
1363	573 525 396 419
1364	147 144 23 89
1365	156 76 341 83
1366	71 349 194 515
1367	233 105 159 506
1368	534 350 434 486
1369	281 286 445 195
1370	272 167 558 270
1371	278 386 269 387
1372	112 445 175 523
1373	169 422 182 270
1374	224 491 87 140
1375	408 112 15 319
1376	129 369 479 457
1377	134 229 339 484
1378	546 309 84 373
1379	33 526 277 396
1380	329 198 456 484
1381	340 577 593 432
1382	135 351 12 455
1383	191 452 147 167
1384	528 239 429 252
1385	413 3 458 412
1386	509 170 522 7
1387	520 209 475 188
1388	2 199 423 510
1389	416 240 57 504
1390	412 332 15 125
1391	485 317 44 560
1392	183 546 63 208
1393	179 172 594 381
1394	369 292 389 296
1395	450 298 186 75
1396	125 278 324 482
1397	134 404 323 518
1398	410 74 576 37
1399	89 45 244 301
1400	142 524 492 96
1401	333 566 586 229
1402	162 224 414 98
1403	229 341 13 516
1404	373 114 64 112
1405	501 455 25 119
1406	417 61 351 52
1407	516 519 243 153
1408	382 1 475 252
1409	526 28 236 460
1410	75 395 31 41
1411	500 346 241 335
1412	49 600 448 198
1413	306 47 69 387
1414	482 230 170 192
1415	433 198 165 484
1416	351 229 572 32
1417	469 489 342 533
1418	548 532 259 352
1419	61 347 135 472
1420	399 8 408 142
1421	193 36 82 470
1422	373 74 397 588
1423	427 290 463 397
1424	425 292 415 485
1425	533 39 345 510
1426	65 331 106 582
1427	50 463 224 366
1428	185 310 106 456
1429	179 379 37 116
1430	378 554 331 462
1431	397 367 565 444
1432	374 185 221 146
1433	160 527 97 364
1434	542 281 560 326
1435	318 540 84 474
1436	418 500 25 325
1437	520 102 140 30
1438	240 315 580 61
1439	65 315 367 219
1440	541 79 227 453
1441	365 567 48 238
1442	182 542 304 46
1443	259 287 317 421
1444	561 64 527 144
1445	228 226 487 324
1446	130 298 279 433
1447	517 531 66 143
1448	34 254 165 84
1449	439 71 148 173
1450	538 573 219 480
1451	227 203 10 285
1452	281 267 411 334
1453	139 363 189 383
1454	353 258 263 155
1455	463 54 435 527
1456	26 219 255 116
1457	552 376 170 190
1458	444 414 206 358
1459	226 593 202 514
1460	475 566 130 317
1461	25 80 467 440
1462	96 86 505 103
1463	126 136 244 15
1464	471 300 438 502
1465	359 312 548 425
1466	548 320 7 500
1467	365 168 436 180
1468	250 56 405 373
1469	259 514 8 359
1470	309 229 500 366
1471	451 357 119 323
1472	130 13 539 172
1473	496 460 435 434
1474	122 245 132 225
1475	399 546 103 463
1476	367 43 113 59
1477	530 571 302 122
1478	223 316 506 413
1479	343 174 554 146
1480	204 108 454 456
1481	84 343 478 348
1482	261 83 190 149
1483	435 133 84 472
1484	247 238 353 107
1485	106 574 230 531
1486	410 485 347 399
1487	24 220 350 163
1488	490 199 75 124
1489	128 223 413 589
1490	571 355 333 277
1491	119 499 178 94
1492	239 287 597 286
1493	543 484 35 218
1494	68 313 264 321
1495	16 26 14 214
1496	336 58 439 350
1497	516 14 174 445
1498	442 57 95 293
1499	192 341 433 584
1500	449 320 421 143
